seqnames	start	end	AF	EUR_AF	cn0	cn1	cn2	p.cn0	p.cn1	p.cn2
1	4525729	4531357	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
1	8447277	8475460	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	8550232	8551315	0.03853834	0	14	165	2325	0.00559105431309904	0.0658945686900958	0.928514376996805
1	8765907	8775376	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	8902400	8903006	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
1	17678454	17678533	0.00059904	0.001	0	3	2501	0	0.00119808306709265	0.998801916932907
1	24367682	24368465	0.00179712	0.005	0	9	2495	0	0.00359424920127796	0.996405750798722
1	33898091	33899110	0.00379393	0.0099	0	19	2485	0	0.00758785942492013	0.99241214057508
1	34028753	34029762	0.00259585	0	0	13	2491	0	0.00519169329073482	0.994808306709265
1	34343996	34349071	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	39561555	39562136	0.00279553	0	0	14	2490	0	0.00559105431309904	0.994408945686901
1	40285184	40287260	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
1	46457778	46461778	0.0009984	0	0	5	2499	0	0.00199680511182109	0.998003194888179
1	57355570	57362922	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	57783058	57787425	0.00079872	0	0	4	2500	0	0.00159744408945687	0.998402555910543
1	64720497	64721847	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	71718761	71731545	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
1	73186702	73186993	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	75894347	75895978	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	77382568	77414231	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	77909399	77911523	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	80957969	80967431	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
1	90865363	90870515	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
1	91006622	91037791	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
